Step,Instruction,
1,'Rinse the lentils under cold water.',
2,"In a pot,bring 1 cup of water to a boil.'", 
3,'Add the rinsed lentils to the boiling water.',
4,"Reduce heat to low, cover, and simmer for 15-20 minutes, or until lentils are tender but still hold their shape.'",
5,'Drain any excess water from the lentils and transfer them to a large bowl.',
6,'Allow the lentils to cool to room temperature.',
7,"In the meantime, wash the baby spinach and halve the cherry tomatoes.'",
8,'Finely chop the red onion and crumble the feta cheese.',
9,"In a small bowl, whisk together balsamic vinegar, olive oil, Dijon mustard, honey, salt, and black pepper to make the dressing.'",
10,"Add baby spinach, halved cherry tomatoes, chopped red onion, and crumbled feta cheese to the bowl with lentils.'",
11,'Pour the dressing over the salad.',
12,'Toss gently until well combined.',
13,'Serve at room temperature or chilled.',
