ingredient,special_unit,special_unit_weight_g
aburage (fried tofu pockets),sheet,22
bacon,"""slice""",25
bacon,"""slices""",25
baked beans,"""15-ounce can""",425
bamboo shoots,"""can""",227
bamboo shoots,"""10-ounce can""",283
bamboo shoots,"""14-ounce can""",397
black beans,"""15-ounce can""",425
bread,"""slice""",38
bread,"""slices""",38
bread,"""loaf""",660
broccoli,"""crown""",350
broccoli,"""head""",350
cabbage,"""head""",750
canadian bacon,"""slices""",14
canned tuna in olive oil,"""6-ounce can""",170
cannellini beans,"""14-ounce can""",397
cauliflower,"""head""",588
celery,"""stalk"",""stalks""",40
cheddar cheese,"""slices""",25
chickpeas,"""15-ounce can""",425
chickpeas,"""15-ounce cans""",425
chopped green chiles,"""4-ounce can""",113
chopped tomatoes,"""28-ounce can""",795
ciabatta bread,"""slices""",35
coconut milk,"""13.5-ounce can""",383
collard greens,"""bunch""",184
cooked ham,"""slices""",70
corn,"""11-ounce can""",325
corn,"""14-ounce can""",397
corn kernels,"""14-ounce can""",397
corn on the cob,"""ears""",160
corn on the cob,"""ear""",160
cream cheese,"""8-ounce packages""",227
cream of mushroom soup,"""10.5-ounce can""",297
crushed tomatoes,"""14-ounce can""",397
crushed tomatoes,"""28-ounce can""",794
crusty bread,"""loaf""",750
diced tomatoes,"""14-ounce can""",397
diced tomatoes,"""""28-ounce can""",794
edamame,"""12-ounce package""",340
edamame,"""16-ounce package""",454
enchilada sauce,"""can""",283
enchilada sauce,"""10-ounce can""",283
enchilada sauce,"""14-ounce can""",397
enchilada sauce,"""14-ounce cans""",397
firm tofu,"""block""",340
french bread,"""loaf""",250
french bread,"""slices""",35
fresh thyme,"""sprig""",30
fresh thyme,"""sprigs""",30
thyme,"""sprig""",30
thyme,"""sprigs""",30
fresh basil,"""bunch""",45
fresh mozzarella,"""ball""",227
fresh rosemary,"""sprig""",2
fresh rosemary,"""sprigs""",2
frozen edamame,"""12-ounce package""  ",340
frozen acai puree,"""100g pouch""",100
garlic,"""clove"", ""cloves""",5
garlic - large,"""clove"", ""cloves""",5
garlic - medium,"""clove"", ""cloves""",5
garlic chives (buchu),"""bunch""",283
ginger,"""inch""",8
ginger,"""inches""",8
green onion,"""stalk""",15
green onions,"""stalks""",15
green cabbage,"""head""",750
green chiles,"""4-ounce can""",28
halloumi cheese,"""block""",245
ham,"""slices""",13
iceberg lettuce,"""head""",360
kale,"""bunch""",454
kidney beans,"""15-ounce can""",425
lasagna noodles,"""package""",454
lettuce,"""head""",475
marinara sauce,"""24-ounce jars""",681
napa cabbage - medium,"""head""",925
napa cabbage,"""head""",925
nori seaweed,"""sheet""",3
nori seaweed,"""sheets""",3
parsley,"""bunch""",55
pie crust,"""9-inch""",225
pie crusts,"""9-inch""",225
pimentos,"""can""",230
pita bread,"""pieces""",28
powdered gelatin,"""envelope""",7
radicchio,"""head""",1000
radishes,"""bunch""",283
ramen noodles,"""packages""",85
reblochon cheese,"""wheel""",450
red cabbage,"""head""",908
rice spring roll wrappers (round),"""sheets""",12
romaine lettuce,"""head""",625
rosemary,"""sprig""",2
rosemary,"""sprigs""",2
silken tofu,block,340
soybeans,"""15-ounce can""",425
sweetened condensed milk,"""14-ounce can""",397
tofu,"""block""",340
tofu - firm,"""block""",340
tomato,"""slice""",23
tomato,"""slices""",23
tomato sauce,"""15-ounce can""",425
tuna,"""5-ounce can""",141
white bread,"""slice"",""slices""",35
whole grain bread,"""slices""",35
whole milk ricotta cheese,"""15-ounce container""",425
wonton wrappers,"""sheets""",23
baby back ribs,"""racks""",800
baked tofu,"""block""",340
bread - sourdough,"""slice""",35
whole wheat bread,"""slice""",35
celery stalks,"""stalk""",40
celery stalks,"""stalks""",40
enoki mushrooms,"""package""",150
fish cake (odeng),"""package""",340
frozen spinach,"""package""",500
spinach,"""package""",500
imitation crab meat,"""package""",227
kombu (dried kelp),"""3-inch piece"",",2
kombu (dried kelp),"""4-inch piece""",3
phyllo dough,"""package""",454
ravioli (fresh or frozen),"""9-ounce package""",255
soft tofu,"""12-ounce package""",340
vanilla ice cream,"""scoop""",66
